sample_id,source_id,has_band_A_spectrum,has_band_B_spectrum,sampling_strategy,sampling_depth_cm,geo_zone_macro,geo_zone_micro,geo_zone_meso,land_cover_type,biome,parent_rock_type,property_particle_coarse,property_particle_fine,property_organic_content,property_acidity_index,cation_Ca,cation_Mg,cation_Na,cation_exchange_capacity,latitude,longitude,spectral_band_A_PC_1,spectral_band_A_PC_2,spectral_band_A_PC_3,spectral_band_A_PC_4,spectral_band_A_PC_5,spectral_band_A_PC_6,spectral_band_A_PC_7,spectral_band_A_PC_8,spectral_band_A_PC_9,spectral_band_A_PC_10,spectral_band_A_PC_11,spectral_band_A_PC_12,spectral_band_A_PC_13,spectral_band_A_PC_14,spectral_band_A_PC_15,spectral_band_B_PC_1,spectral_band_B_PC_2,spectral_band_B_PC_3,spectral_band_B_PC_4,spectral_band_B_PC_5,spectral_band_B_PC_6,spectral_band_B_PC_7,spectral_band_B_PC_8,spectral_band_B_PC_9,spectral_band_B_PC_10,spectral_band_B_PC_11,spectral_band_B_PC_12,spectral_band_B_PC_13,spectral_band_B_PC_14,spectral_band_B_PC_15
train_00011,Source_01,YES,NO,Auger,0-20,MW,Unknown,State_04,Savannah,Cerrado,Sedimentary Rock,2877.6964399999997,235.61925,12.94424,,13.194678,2.827431,,47.752168,,,8.201677263145339,0.6019006115027752,0.1910465355059726,-0.22544664943076898,0.043215326591791656,0.2587991146285931,-0.06852047918905461,-0.10619000901775219,-0.05617019337726925,-0.015095255744693049,0.014937021208312895,-0.00803168224000734,-0.014056898425590703,0.0026269406968654203,0.007856167167535972,,,,,,,,,,,,,,,
train_00012,Source_01,YES,NO,Auger,0-20,SE,Unknown,State_01,Savannah,Cerrado,Igneous Rock,879.6451999999999,1539.3790999999999,56.63105,,160.849408,69.11498,,327.981996,,,-8.978661861631664,-0.3114008148069413,0.05832764838998219,-0.015242288468066521,-0.1159206245516539,0.015123759186287052,-0.04914426322391198,-0.01652647935598987,-0.05050375833556211,0.014826195864563105,0.06047699957817648,0.017846000460391618,-0.0003738165246580487,-0.001364524562142045,-0.016042789722642798,,,,,,,,,,,,,,,
train_00013,Source_01,YES,NO,Auger,0-20,SE,Unknown,State_01,Seasonal Semideciduous Forest,Mata Atlantica,Sedimentary Rock,2550.97108,442.96419,16.665709000000003,,12.56636,10.995565,,72.88488799999999,-20.753889,-42.881944,0.33662757161062984,0.36192636056820354,0.04690275846207051,-0.22436466381103232,0.1518945550383717,0.0786752663751248,0.1483666911469661,0.07086065785016549,0.05525547759981499,0.01679383139990515,-0.03751949084135577,0.014316271824410193,-0.021022191425557394,0.021159349898837828,0.007823479249486155,,,,,,,,,,,,,,,
train_00014,Source_02,YES,NO,Auger,0-20,SE,Unknown,State_01,Seasonal Semideciduous Forest,Mata Atlantica,Sedimentary Rock,2450.4402,314.159,21.034390000000002,15.079631999999998,94.2477,18.849539999999998,,169.017542,,,-0.10365196746321345,0.9303004132154599,-0.07581018339096333,0.21278736691801386,-0.22477723298459665,-0.10040564136992282,0.039823771008821396,-0.009595420652988823,-0.04630804770122835,-0.044875184670336854,-0.0032397378705345194,-0.047818014273429715,0.0005588344431103219,-0.008642542234986915,-0.016891098289208397,,,,,,,,,,,,,,,
train_00015,Source_02,YES,NO,Auger,0-20,SE,Unknown,State_01,Seasonal Semideciduous Forest,Mata Atlantica,Igneous Rock,1036.7247,1288.0519,25.88848,,84.82293,34.55749,,201.06176,,,-4.490578351578206,0.19203960345435672,-0.19540429169276366,0.0007634686822605431,0.20785814535040364,-0.0657632921763993,0.08347978120854875,-0.03227074198314592,0.06981234942269648,-0.0075278441416102276,-0.01684925282724689,0.0015431286845002208,0.03281814254055345,0.044524056067793825,-0.010547222486118375,,,,,,,,,,,,,,,
train_00016,Source_04,YES,NO,Auger,0-20,S,Loc_001,State_06,Unknown,Unknown,Unknown,,,81.0309424,,,,,,,,-6.404274403252281,-0.6652472127947836,-0.12079587893185732,-0.28590932947752157,-0.2750759109270881,0.05170773812896699,-0.0017488204629371841,0.013597119435650258,-0.12262362866519141,0.02880241373142001,0.012963973831067028,0.05441224808925056,0.04237256678548016,0.0004324697364847859,-0.035756240227278295,,,,,,,,,,,,,,,
train_00017,Source_04,YES,NO,Auger,0-20,S,Loc_001,State_06,Unknown,Unknown,Unknown,,,25.672742666666668,,,,,,,,-4.317715943038259,0.18143978293701524,0.18843756681239318,-0.059372625228094264,0.18478627203120077,0.022484736397065684,0.1195212652892975,0.08824438302767336,0.06333647071325163,-0.048579690408667095,-0.0368352558856333,-0.0019855367216756797,-0.013819347883238136,0.014099877834360983,-0.012341379946276624,,,,,,,,,,,,,,,
train_00018,Source_24,YES,NO,Auger,0-20,SE,Loc_015,State_05,Seasonal Semideciduous Forest,Mata Atlantica,Metamorphic Rock,1759.2903999999999,596.9021,4.314746666666666,,15.70795,12.56636,,218.65466399999997,,,5.717177469701782,-1.0313711972167734,1.0780437734560866,-0.38832975639238665,0.16550949953034677,-0.15212802664264427,-0.14645802434272528,-0.02218671802170383,-0.11995097272891021,-0.0010607783765893062,-0.05422490389323719,0.018695643049833538,-0.030127447351896,-0.01185103151513408,0.02767407414964597,,,,,,,,,,,,,,,
train_00019,Source_02,YES,NO,Auger,0-20,MW,Unknown,State_02,Areas of Ecological Tension,Cerrado,Sedimentary Rock,2324.7765999999997,468.09691,43.68681,,116.23883,18.849539999999998,,180.013107,,,-2.650427942511174,1.0963941321418793,-0.32770734439346827,0.12584431568793558,-0.09731560049977588,-0.09802760880414078,-0.040109739321634634,0.11377100523399918,-0.030031584098724903,-0.08056410934548312,0.035529371825877044,-0.010236333639687322,0.03785957990407338,0.006566864999416323,-0.015969729988103407,,,,,,,,,,,,,,,
train_00020,Source_16,YES,NO,Unknown,0-20,NE,Loc_025,State_12,Unknown,Unknown,Unknown,493.22963,1398.00755,34.140433,,56.54862,21.048652999999998,1.8221222,83.3149668,,,1.440317466601489,0.827965168721532,-0.993391440209375,0.4811192845810831,-0.1951596314361326,-0.33742927133752676,0.03397106150867097,-0.22065279088833248,0.08373932683014892,0.044162751495200415,0.05126390881934217,0.07385425997619938,-0.016576231028094905,-0.016193296947847474,0.012941410034906734,,,,,,,,,,,,,,,
train_00021,Source_02,YES,NO,Auger,0-20,SE,Unknown,State_05,Savannah,Cerrado,Igneous Rock,219.91129999999998,2858.8469,71.19332,15.70795,147.65473,25.13272,,379.189913,,,-0.13524408606594893,-0.8431959608841417,-0.7164866172293983,0.16095758755937167,0.1561879224779194,0.12261796470964798,-0.00695084033868629,0.0024158173510766207,-0.0035561259503573395,0.023674468925788582,-0.04013574419714686,0.04716248330946985,0.03838825539029436,-0.023748016134198312,-0.017472443581381718,,,,,,,,,,,,,,,
train_00022,Source_02,YES,NO,Auger,0-20,SE,Unknown,State_01,Seasonal Semideciduous Forest,Mata Atlantica,Sedimentary Rock,2324.7765999999997,486.94644999999997,21.034390000000002,18.221221999999997,59.69021,34.55749,,172.15913199999997,,,0.8766246754015127,0.8012557040427475,-0.2511244806419742,0.21134865377211237,0.2510507216519258,-0.06580268291755625,0.10329676742410901,-0.0023941088905716583,-0.015121886741866607,0.03236328127854914,-0.013092199818497992,-0.015043076412980826,-0.04675595351240201,-0.026473153615267114,0.033618966149320265,,,,,,,,,,,,,,,
train_00023,Source_01,YES,NO,Auger,0-20,SE,Unknown,State_01,Savannah,Cerrado,Igneous Rock,2818.00623,40.840669999999996,13.267845999999999,,46.181372999999994,17.907063,,98.64592599999999,,,-0.09640683604197872,0.6204956111499585,0.5902499217920105,0.029496539678382984,-0.09838448842473789,0.009915749049204968,-0.06195810423947055,-0.01155358832254544,-0.0644496476288338,-0.01837746910103538,0.026583848379224447,-0.029287076799844915,0.022292630391676428,-0.016108242482256934,0.0001680506765398853,,,,,,,,,,,,,,,
train_00024,Source_02,YES,NO,Auger,0-20,SE,Unknown,State_01,Seasonal Semideciduous Forest,Mata Atlantica,Igneous Rock,1665.0427,1416.85709,32.360600000000005,,122.52201,31.4159,,300.021845,,,-8.482489917533844,-0.08189241315482305,0.00817422714676486,0.14806838143466805,-0.0790407275342376,-0.02731157889011926,-0.05089342466459065,0.015936138592327717,-0.04590117935675751,-0.006179076833430678,0.05196775023589678,0.011897879709769847,0.006427920411040248,-0.010039625298855463,-0.007188913475211609,,,,,,,,,,,,,,,
train_00025,Source_02,YES,NO,Auger,0-20,SE,Unknown,State_01,Seasonal Semideciduous Forest,Mata Atlantica,Sedimentary Rock,2387.6084,502.6544,21.034390000000002,16.336268,28.27431,12.56636,,102.72999300000001,,,-1.5287315948141285,0.892244448464242,0.11600723774772423,-0.0171632958304357,0.04353097648716301,0.021873461365587155,0.007013347787552604,0.10556018061152393,-0.009323112439860512,-0.06859641807993587,0.003919865169904691,-0.0317544049806629,0.006679575390904195,-0.013733814204277453,0.002607473754987512,,,,,,,,,,,,,,,
train_00026,Source_01,YES,NO,Auger,0-20,MW,Unknown,State_02,Areas of Ecological Tension,Cerrado,Igneous Rock,2847.851335,157.0795,22.328814,,40.212352,13.194678,,104.61494699999999,,,2.0637627018059597,1.7576211507487307,0.0253838211819204,0.29801127018416945,0.23528945043114108,0.018542610699964508,0.041704011232765535,0.144700595171564,0.028318026136746048,-0.025600064115188597,0.02033344298235933,-0.053616953905267745,0.0026105809331004887,-0.033632705218141865,-0.05254446939488366,,,,,,,,,,,,,,,
train_00027,Source_01,YES,NO,Auger,0-20,SE,Unknown,State_01,Savannah,Cerrado,Igneous Rock,2183.40505,870.22043,32.846009,,19.792016999999998,8.796451999999999,,145.455617,,,-2.3484492353303192,0.4150811575060802,0.3025359614008999,-0.040844298766736314,0.15931797506479664,0.043036952662268625,0.07845979850102977,-0.011921742177845468,0.02102211404738435,0.018537302205899903,0.03707849069293316,-0.0195403335716904,-0.010340117873043257,-0.019871663187571522,-0.00686322431686253,,,,,,,,,,,,,,,
train_00028,Source_02,YES,NO,Auger,0-20,SE,Unknown,State_01,Seasonal Semideciduous Forest,Mata Atlantica,Igneous Rock,973.8928999999999,1778.13994,42.068780000000004,,37.699079999999995,12.56636,,398.353612,-27.026111,-50.921389,-7.761659815844843,-0.10185868539584289,0.09775374789573936,0.06893727054098202,-0.025054285284959704,-0.014220122095003122,-0.009822848394081178,-0.007858854985814366,-0.01839385434632786,-0.023932937311555692,0.004329252738853965,0.012391605483821441,0.020449310851893294,-0.003066453433171195,-0.011638084769376566,,,,,,,,,,,,,,,
train_00029,Source_04,YES,NO,Auger,0-20,S,Loc_001,State_06,Unknown,Unknown,Unknown,,,23.154009300000002,,,,,,,,4.703127881816227,-0.6587354297280054,1.3014137282063323,0.15559626624585796,-0.09725228157303079,-0.06549986672663669,-0.1104108681495068,-0.12397225450675671,-0.0703204756011636,-0.06568988546929914,-0.010547459966779681,-0.009812052902882902,-0.017926186130034525,0.03865352014609639,-0.037663279771917656,,,,,,,,,,,,,,,
train_00030,Source_01,YES,NO,Auger,0-20,MW,Unknown,State_04,Savannah,Cerrado,Sedimentary Rock,2827.431,141.37154999999998,14.562270000000002,,5.969021,0.9424769999999999,,49.637122,,,7.102804073083421,0.8915350698753359,-0.31096030369949534,-0.1859296457200195,0.10157177148060749,0.26763641223481743,-0.0578273930573047,-0.09650350927349813,-0.018075193452608034,-0.03607554701761838,0.01275363497662643,-0.004215132696345679,0.03640385633877608,-0.006709561889843263,-0.024398038836264655,,,,,,,,,,,,,,,
train_00031,Source_02,YES,NO,Auger,0-20,SE,Unknown,State_01,Seasonal Semideciduous Forest,Mata Atlantica,Igneous Rock,2638.9356,370.70761999999996,14.562270000000002,,116.23883,62.8318,,227.136957,-22.730833,-45.125,3.876060031175412,0.16361459557913505,-1.0185052727947639,-0.19407821348807713,-0.6196067463372864,-0.6388706226232987,0.23056341754578358,-0.005851299347425261,0.17844997280618444,-0.07694950866800583,0.029567026991813076,-0.0752072981010845,0.14380224824325946,0.07693933308953092,-0.06145256810419304,,,,,,,,,,,,,,,
train_00032,Source_06,YES,NO,Auger,0-20,SE,Loc_002,State_05,Seasonal Deciduous Forest,Mata Atlantica,Metamorphic Rock,1665.0427,1350.8836999999999,3.5956222222222225,,9.424769999999999,9.424769999999999,,144.51314,,,0.27431569580898535,-0.8987154889338314,-0.4210801684622626,0.021057604507617542,-0.12353499054876886,0.02227743375787518,-0.04286598089793497,0.060970753437469424,-0.0751180067158599,0.04636479622946817,-0.07920265806553282,0.07615019964864025,-0.01763227673190604,0.00010196390207813074,-0.006875876685649101,,,,,,,,,,,,,,,
train_00033,Source_01,YES,NO,Auger,0-20,MW,Unknown,State_02,Areas of Ecological Tension,Cerrado,Igneous Rock,1976.374269,1019.4459549999999,31.066176,,53.721189,26.075197000000003,,165.247634,,,-4.332834220905669,0.34581639483222315,0.22159965994916167,-0.0456833223709936,0.04745698882432007,0.021798397881580535,0.03132093121799724,0.07524633200714662,0.03685939569761864,-0.037703983278929064,-0.00684875599447035,-0.007501747898504285,-0.014795495677501557,0.014160660810261296,0.00043062756115493024,,,,,,,,,,,,,,,
train_00034,Source_07,YES,NO,Auger,0-20,S,Loc_003,State_08,Seasonal Deciduous Forest,Mata Atlantica,Sedimentary Rock,1979.2016999999998,358.14126,41.1950438,,81.995499,19.163698999999998,,205.145827,-27.898889,-50.760833,-1.5012867423029923,-0.0009994825546330724,-0.6906847293179375,-0.08616148952971946,-0.6514877077302067,-0.10510067372564923,0.011960624354226072,0.010269443742603124,-0.027157628913617237,-0.11105800891750418,-0.08201146690027149,0.05568452309490491,-0.0040275916401268114,0.003192802153675075,0.093277690343734,,,,,,,,,,,,,,,
train_00035,Source_01,YES,NO,Auger,0-20,MW,Unknown,State_04,Unknown,Unknown,Unknown,1762.43199,1206.3705599999998,46.92287,,31.4159,9.424769999999999,,186.610446,,,-4.447240098625499,-0.386008981636518,-0.7029293270378335,0.1061495043067404,0.028934895819739896,0.08714636076155863,-0.019717913363330022,-0.031186800468418634,-0.039533291403205474,0.020629078797155642,-0.0168305940970682,0.023637640481026446,0.00800743227380806,-0.005922518492694876,-0.007943751143513325,,,,,,,,,,,,,,,
train_00036,Source_01,YES,NO,Auger,0-20,SE,Unknown,State_01,Savannah,Cerrado,Igneous Rock,1954.06898,970.75131,34.464039,,23.561925,18.221221999999997,,158.650295,,,-7.447811358623957,-0.6259964763834571,0.3341164422089746,0.054601065691009774,-0.08727090506463167,0.009252909919325295,-0.1005463531493839,-0.010914649789366628,-0.06010198352450039,0.006194109783010412,0.009280876536179448,0.008756103951967346,0.0021795202019240624,0.0024501350102286486,-0.0019428215555133057,,,,,,,,,,,,,,,
train_00037,Source_02,YES,NO,Auger,0-20,SE,Unknown,State_01,Seasonal Semideciduous Forest,Mata Atlantica,Sedimentary Rock,2450.4402,502.6544,21.034390000000002,13.194678,31.4159,18.849539999999998,,110.269809,,,0.4663864868480764,0.7172725419369534,0.188874722606157,-0.07381631788592731,0.0211512283583781,0.004048268289491968,0.03862728184255854,0.019805026603164154,-0.042695511207254074,-0.02728035058539792,0.002901962306069357,-0.010855988898844971,0.0012256011760200553,-0.01294674314208424,0.014916758391012351,,,,,,,,,,,,,,,
train_00038,Source_02,YES,NO,Auger,0-20,SE,Unknown,State_01,Seasonal Semideciduous Forest,Mata Atlantica,Igneous Rock,753.9816,2199.113,50.158930000000005,13.822996,81.68133999999999,50.26544,,364.110281,,,-5.179198613589616,0.012630484539574544,0.0023049358025580965,-0.07505294981821117,-0.06417296548937063,0.1019429137998864,0.046728551380530906,-0.017765244634644264,-0.02456008571160003,-0.04163341077496913,-0.02901915950819535,-0.008881092738699834,0.003494583537812344,-0.011365690808151833,-0.0019943492570267582,,,,,,,,,,,,,,,
train_00039,Source_01,YES,NO,Auger,0-20,MW,Unknown,State_02,Seasonal Semideciduous Forest,Mata Atlantica,Igneous Rock,596.9021,1916.3699,46.92287,14.765473,34.55749,18.849539999999998,,242.84490699999998,-28.325833,-49.176667,-5.59389248808795,-0.3117014111172142,0.1269057119086256,-0.13636615071002103,0.05664511723479463,-0.09686041180773691,-0.05046840886983224,-0.02625994427392187,-0.030511535200901784,0.04874945390917094,-0.041634255284103125,-0.020821264751130775,0.0057279096222719325,-0.009900583066838777,0.014491156626097847,,,,,,,,,,,,,,,
train_00040,Source_01,YES,NO,Auger,0-20,MW,Unknown,State_04,Savannah,Cerrado,Sedimentary Rock,2830.5725899999998,304.73422999999997,19.901769,,13.822996,2.1991129999999997,,98.64592599999999,,,-5.115991449877067,-8.380401331593628,-2.7066182547553126,23.788244178569748,13.462101140179152,8.661884954496815,7.672969785929178,17.896988736944856,-4.4333459685301255,4.649290393639516,-6.213299095057248,9.521776417129827,8.714564126876601,22.914189351952253,3.582230335881718,-8.21316918342215,4.533112624251393,9.160344478286211,5.835037871298114,6.373099704872194,12.864775354013231,17.498436109908816,23.799081403977773,-6.596000403356421,22.32845229366474,23.77694881448999,15.862890712368332,4.459182387163512,-8.081800441893243,6.130287431865712
train_00041,Source_01,YES,NO,Auger,0-20,SE,Unknown,State_01,Seasonal Semideciduous Forest,Mata Atlantica,Igneous Rock,2569.82062,524.64553,27.991919000000003,,55.291984,21.676971,,125.03528199999998,,,-3.333683865375946,0.10346829144029092,0.05161642878368616,0.36265291298576585,-0.09421492002550239,0.053500159667508145,0.014960457149025577,0.09298792591766465,0.1448123088444234,0.07978325046345774,-0.03578163685023121,0.0061929847302990915,0.06342979907942807,-0.04932061978922763,-0.0033192916550037295,,,,,,,,,,,,,,,
train_00042,Source_02,YES,NO,Auger,0-20,SE,Unknown,State_01,Dense Ombrophylous Forest,Mata Atlantica,Igneous Rock,1853.5381,1137.25558,27.506510000000002,13.822996,15.70795,6.28318,,171.216655,-26.367778,-50.327778,-8.907391783509805,-0.27567299705109266,0.09282503038653606,0.03275145862419737,-0.09414380948849436,0.003514198218767229,-0.09920279883160939,0.004863568135485328,-0.03004215773547114,-0.00933554721087041,0.06803650642124437,0.021895217355105766,0.002229272414256341,0.002129864169179501,-0.0067713220833559105,,,,,,,,,,,,,,,
train_00043,Source_01,YES,NO,Auger,0-20,MW,Unknown,State_02,Areas of Ecological Tension,Cerrado,Igneous Rock,2697.055015,314.159,24.432253,,32.044217999999994,16.336268,,233.105978,,,-5.152351950593519,0.6045682737440012,-0.03839559918634683,0.06153244994407821,-0.028664758606372964,0.01650101410888191,0.026017143160198628,0.03044120771171339,-0.04434575827474218,-0.03430280683552013,-0.009747217370821404,-0.03046644682790846,-0.011570514264760932,-0.011122958623551157,-0.01149498174987277,,,,,,,,,,,,,,,
train_00044,Source_01,YES,NO,Auger,0-20,MW,Unknown,State_04,Unknown,Unknown,Unknown,2777.16556,329.86695,11.32621,,9.424769999999999,6.28318,,53.40703,,,6.137069244650563,0.6454773421333477,-0.29870290062976235,-0.19354936391583868,0.2571618806122104,0.21241377417616447,0.06486392355130481,-0.12086057388640237,0.05438938547948354,-0.007548592094933252,-0.02333381019411718,-0.03153776775443754,-0.00665408589314347,-0.0074511504434434765,-0.008443547469080952,,,,,,,,,,,,,,,
train_00045,Source_02,YES,NO,Auger,0-20,SE,Unknown,State_01,Seasonal Semideciduous Forest,Mata Atlantica,Sedimentary Rock,2387.6084,502.6544,21.034390000000002,16.964586,53.40703,21.99113,,107.442378,,,0.985657829279559,1.2408132718268206,-0.17213266026757854,-0.08107873926317444,0.01660755624779927,0.0372845353633876,0.014741346205704222,0.1315991434118449,-0.03916019033124481,-0.061756808491278826,0.004679826961082341,-0.01597485607499207,0.029797194885598063,-0.012071605163808036,-0.011277979532583058,,,,,,,,,,,,,,,
train_00046,Source_01,YES,NO,Auger,0-20,MW,Unknown,State_04,Unknown,Unknown,Unknown,2808.58146,301.59263999999996,9.70818,,18.849539999999998,3.14159,,86.707884,,,7.336681048671603,-0.10022799046302577,-0.10497598998790884,-0.6438308357093478,0.07212514190571594,0.144452977326659,0.06684781564540768,-0.019312378900040762,-0.04213381383715176,-0.0036701733874706004,0.008191320134174493,0.069843103082113,0.04119727407415563,0.007199509342592306,0.018726283358984134,,,,,,,,,,,,,,,
train_00047,Source_14,YES,NO,Auger,0-20,S,Loc_008,State_03,Mixed Ombrophylous Forest,Mata Atlantica,Igneous Rock,371.11602669999996,1677.2006532999999,116.3039964,,20.734493999999998,10.053088,,58.119415,-27.44719722,-50.84197778,-7.020346446974713,-0.2880045466094818,-0.04451194136069262,0.006591448223274643,-0.19717306020234887,0.04578004704199707,-0.04360407632638692,0.018381360143105555,-0.10128626261841425,-0.01852618961873865,-0.02481667389380057,0.010325282409862128,0.005362582158611868,-0.017431866692883078,-0.00734290591618322,,,,,,,,,,,,,,,
train_00048,Source_02,YES,NO,Auger,0-20,SE,Unknown,State_01,Seasonal Semideciduous Forest,Mata Atlantica,Sedimentary Rock,2324.7765999999997,439.82259999999997,21.034390000000002,15.393791,65.97339,25.13272,,159.592772,,,-1.2465619394832428,0.9248489718833462,0.24274754725787817,-0.13277773175606827,-0.016067720406970368,-0.07183429799613336,0.027158453273713468,0.03934736978596344,0.020646374855809776,-0.020372782482923145,0.033288418161442984,-0.04267507207879569,-0.0007934148584502732,0.004979681582307729,-0.003101245177394397,,,,,,,,,,,,,,,
